Stations_id,Stationsname,Breite, Laenge,Stationshoehe,Bundesland
3126,Magdeburg                               ,   52.102896,   11.582674,79,Sachsen-Anhalt                          
3137,Mainz-Lerchenberg (ZDF)                 ,   49.965563,    8.213884,195,Rheinland-Pfalz                         
3147,Mallersdorf-Pfaffenberg-Oberlindhart    ,   48.754812,   12.211827,390,Bayern                                  
3155,Manderscheid-Sonnenhof                  ,   50.101542,    6.800909,413,Rheinland-Pfalz                         
3164,Cölbe,   50.849234,    8.774517,187,Hessen                                  
3166,Marienberg                              ,   50.651055,   13.146876,639,Sachsen                                 
3167,Marienberg,   50.662061,    7.960264,        546.7,Rheinland-Pfalz                         
3196,Marnitz                                 ,    53.32222,   11.932143,81,Mecklenburg-Vorpommern                  
3212,Mayen                                   ,   50.324912,    7.230019,230,Rheinland-Pfalz                         
3234,Garsebach bei Meißen                    ,   51.129431,   13.432783,158,Sachsen                                 
3244,Memmingen                               ,   47.982065,    10.13838,614,Bayern                                  
3253,Sankt Blasien-Menzenschwand             ,    47.83087,    8.069848,882,Baden-Württemberg                       
3257,Mergentheim,   49.477324,    9.762223,        250.5,Baden-Württemberg                       
3271,Metten                                  ,    48.85476,   12.918911,314,Bayern                                  
3307,Mittenwald-Buckelwiesen                 ,   47.477866,   11.265311,        983.5,Bayern                                  
3366,Mühldorf                                ,   48.278982,   12.502407,        405.6,Bayern                                  
3376,Müncheberg                              ,   52.517588,   14.123226,63,Brandenburg                             
3379,München-Stadt                           ,   48.163202,   11.542893,        515.4,Bayern                                  
3385,München-Nymphenburg                     ,   48.165975,   11.501122,515,Bayern                                  
3390,München-Riem                            ,    48.13688,   11.709393,529,Bayern                                  
3402,Münsingen-Apfelstetten                  ,   48.385084,    9.483739,        754.5,Baden-Württemberg                       
3404,Münster                                 ,   51.949426,    7.590559,62,Nordrhein-Westfalen                     
3425,Murrhardt                               ,    48.97288,    9.571159,344,Baden-Württemberg                       
3432,Nagold                                  ,   48.567499,    8.717902,380,Baden-Württemberg                       
3442,Nauheim,   50.357418,    8.750564,        148.5,Hessen                                  
3486,Neudenau                                ,   49.293135,    9.272227,212,Baden-Württemberg                       
3490,Neuenahr,   50.534561,    7.085337,111,Rheinland-Pfalz                         
3527,Neukirchen-Hauptschwenda                ,    50.89228,     9.40498,500,Hessen                                  
3537,Neumünster                              ,   54.087289,    9.979065,26,Schleswig-Holstein                      
3541,Neunkirchen-Seelscheid-Meisenbach       ,   50.895646,    7.308106,185,Nordrhein-Westfalen                     
3552,Neuruppin                               ,   52.903704,   12.807205,38,Brandenburg                             
3565,Neustadt/Aisch                          ,   49.572809,   10.600131,315,Bayern                                  
3590,Nidderau-Windecken                      ,   50.233526,    8.892274,180,Hessen                                  
3595,Niederelbert                            ,   50.410703,    7.808033,250,Rheinland-Pfalz                         
3612,Nienburg                                ,   52.671083,     9.22291,25,Niedersachsen                           
3621,Reimlingen                              ,   48.825254,   10.506667,435,Bayern                                  
3631,Norderney                               ,   53.712304,    7.151923,         11.5,Niedersachsen                           
3640,Nordhorn-Blanke                         ,   52.412368,    7.063994,24,Niedersachsen                           
3659,Nürburg                                 ,    50.33911,    6.950061,627,Rheinland-Pfalz                         
3668,Nürnberg                                ,   49.503031,   11.054923,314,Bayern                                  
3671,Nürtingen                               ,   48.632111,    9.326125,280,Baden-Württemberg                       
3679,Kiefersfelden-Gach                      ,   47.618701,   12.166532,518,Bayern                                  
3730,Oberstdorf                              ,   47.398429,   10.275881,        805.8,Bayern                                  
3739,Oberviechtach                           ,   49.452096,   12.436546,596,Bayern                                  
3753,Ochtrup                                 ,   52.204196,    7.178421,56,Nordrhein-Westfalen                     
3761,Öhringen                                ,   49.207016,    9.517582,        275.9,Baden-Württemberg                       
3776,Offenbach/M. (Stadt)                    ,   50.094641,    8.754596,110,Hessen                                  
3777,Offenburg                               ,   48.459326,    7.925526,153,Baden-Württemberg                       
3790,Oldenburg (A)                           ,   53.101795,     8.25155,5,Niedersachsen                           
3815,Osnabrück                               ,   52.255342,    8.053353,         95.4,Niedersachsen                           
3856,Oy-Mittelberg                           ,   47.638329,   10.431279,1010,Bayern                                  
3875,Parsberg/Oberpfalz-Eglwang              ,    49.15102,   11.689638,549,Bayern                                  
3879,Passau-Oberhaus                         ,   48.577943,   13.469437,409,Bayern                                  
3904,Perl-Nennig                             ,   49.535353,    6.378874,152,Saarland                                
3924,Pforzheim-Eutingen                      ,   48.905877,    8.741206,246,Baden-Württemberg                       
3927,Pfullendorf                             ,   47.934471,     9.28693,        629.5,Baden-Württemberg                       
3929,Philippsburg                            ,   49.251137,    8.441547,100,Baden-Württemberg                       
3939,Pirmasens                               ,   49.191191,      7.5879,385,Rheinland-Pfalz                         
3946,Plauen                                  ,   50.481832,   12.130043,        387.1,Sachsen                                 
3955,Plön (See)                              ,   54.158983,   10.401996,24,Schleswig-Holstein                      
3974,Pommelsbrunn                            ,   49.505822,     11.5142,368,Bayern                                  
3987,Potsdam                                 ,   52.381247,    13.06223,81,Brandenburg                             
3988,Potsdam (Säkularstation)                ,   52.382206,   13.062213,81,Brandenburg                             
4024,Putbus                                  ,   54.364277,   13.477079,         39.5,Mecklenburg-Vorpommern                  
4032,Quedlinburg                             ,   51.795344,   11.131995,142,Sachsen-Anhalt                          
4053,Radolfzell-Markelfingen                 ,    47.74575,    9.000658,407,Baden-Württemberg                       
4063,Rahden-Kleinendorf                      ,   52.446122,    8.590574,         40.5,Nordrhein-Westfalen                     
4091,Rauschberg bei Ruhpolding               ,   47.732733,   12.682663,1640,Bayern                                  
4094,Weingarten,   47.806248,    9.620579,        440.5,Baden-Württemberg                       
4104,Regensburg                              ,   49.042482,   12.101943,        365.4,Bayern                                  
4125,Reichenhall,   47.723835,   12.874037,470,Bayern                                  
4169,Rheinau-Memprechtshofen                 ,   48.670276,    7.993861,        130.5,Baden-Württemberg                       
4175,Rheinfelden                             ,   47.558973,    7.772149,        282.5,Baden-Württemberg                       
4177,Rheinstetten                            ,   48.972627,    8.330081,        116.1,Baden-Württemberg                       
4222,Rodewisch                               ,   50.526312,   12.409051,464,Sachsen                                 
4240,Roetgen                                 ,   50.640675,    6.205771,440,Nordrhein-Westfalen                     
4261,Rosenheim                               ,   47.875339,   12.127976,442,Bayern                                  
4271,Rostock-Warnemünde                      ,   54.180279,   12.080806,4,Mecklenburg-Vorpommern                  
4275,Rotenburg (Wümme)                       ,   53.128845,    9.339751,32,Niedersachsen                           
4278,Roth bei Nürnberg                       ,   49.251149,   11.093364,340,Bayern                                  
4287,Rothenburg ob der Tauber                ,   49.384842,   10.173229,415,Bayern                                  
4293,Rottach-Egern                           ,   47.681932,   11.771391,747,Bayern                                  
4300,Rottweil                                ,   48.181464,    8.635552,589,Baden-Württemberg                       
4301,Kreuznach,   49.850173,    7.871018,102,Rheinland-Pfalz                         
4336,Saarbrücken-Ensheim                     ,   49.212803,    7.107712,320,Saarland                                
4339,Saarbrücken-Sankt Johann                ,   49.223137,    7.016753,193,Saarland                                
4347,Sachsa,   51.590937,   10.569098,292,Niedersachsen                           
4350,Säckingen,   47.561928,    7.939928,339,Baden-Württemberg                       
4364,Salzgitter-Ringelheim                   ,   52.035526,   10.305442,138,Niedersachsen                           
4371,Salzuflen,   52.104207,    8.752053,        134.6,Nordrhein-Westfalen                     
4377,Sandberg                                ,   50.351779,   10.003374,        517.5,Bayern                                  
4386,Sankt Blasien                           ,   47.761006,    8.124701,795,Baden-Württemberg                       
4390,Sankt Märgen                            ,   48.009078,    8.096604,896,Baden-Württemberg                       
4393,Sankt Peter-Ording                      ,   54.327907,    8.603056,          4.9,Schleswig-Holstein                      
4419,Schallstadt-Mengen                      ,    47.95565,    7.713307,212,Baden-Württemberg                       
4466,Schleswig                               ,   54.527539,    9.548666,         42.7,Schleswig-Holstein                      
