Stations_id,Stationsname,geogr. Breite,geogr. Laenge,Stationshoehe,Bundesland
1266,Erfde                                   ,   54.299212,    9.316185,18,Schleswig-Holstein                      
1270,Erfurt-Weimar                           ,   50.982887,   10.960753,316,Thüringen                               
1275,Ering                                   ,   48.300772,   13.139789,340,Bayern                                  
1276,Eriskirch-Mariabrunn                    ,   47.635825,    9.539204,408,Baden-Württemberg                       
1279,Möhrendorf-Kleinseebach                 ,   49.649749,   11.007464,        267.5,Bayern                                  
1280,Erlangen-Bruck                          ,   49.569212,   10.992874,280,Bayern                                  
1287,Eschau-Hobbach                          ,    49.85887,     9.28612,198,Bayern                                  
1292,Eschenbach/Oberpfalz                    ,   49.752196,   11.822151,470,Bayern                                  
1297,Eschwege                                ,   51.204132,   10.013767,156,Hessen                                  
1299,Esens                                   ,   53.647631,    7.608548,3,Niedersachsen                           
1300,Eslohe                                  ,    51.25399,     8.15653,351,Nordrhein-Westfalen                     
1303,Essen-Bredeney                          ,   51.404085,    6.967741,150,Nordrhein-Westfalen                     
1327,Weilerswist-Lommersum                   ,   50.711886,    6.790489,147,Nordrhein-Westfalen                     
1329,Eutin                                   ,   54.133987,   10.586466,50,Schleswig-Holstein                      
1339,Faßberg                                 ,   52.915651,   10.188503,         76.2,Niedersachsen                           
1345,Feldberg                                ,     53.3346,   13.437131,92,Mecklenburg-Vorpommern                  
1346,Feldberg/Schwarzwald                    ,   47.874893,    8.003817,       1489.6,Baden-Württemberg                       
1357,Fichtelberg/Oberfranken-Hüttstadl       ,   49.980702,   11.837601,        654.5,Bayern                                  
1358,Fichtelberg                             ,   50.428295,   12.953583,1213,Sachsen                                 
1374,Fladungen-Heufurt                       ,   50.505008,   10.166849,        365.5,Bayern                                  
1378,Flensburg                               ,   54.808604,    9.418246,45,Schleswig-Holstein                      
1379,Flensburg (Schäferhaus)                 ,   54.773652,    9.375236,41,Schleswig-Holstein                      
1380,Flensburg-Mürwik                        ,   54.814703,    9.458039,19,Schleswig-Holstein                      
1392,Flossenbürg                             ,   49.731639,   12.348947,621,Bayern                                  
1403,Frammersbach                            ,   50.061648,    9.454993,260,Bayern                                  
1411,Birx/Rhön                               ,    50.53092,   10.047947,747,Thüringen                               
1420,Frankfurt/Main                          ,   50.025911,    8.521294,         99.7,Hessen                                  
1421,Frankfurt/Main (Stadt)                  ,   50.147435,    8.674607,125,Hessen                                  
1424,Frankfurt/Main-Westend                  ,   50.126906,    8.669403,124,Hessen                                  
1425,Frankfurt/Main (Feldbergstr.)           ,   50.121338,    8.660109,109,Hessen                                  
1426,Frankfurt/Oder                          ,   52.339682,   14.507999,65,Brandenburg                             
1428,Frankweiler                             ,   49.227539,    8.058503,230,Rheinland-Pfalz                         
1440,Freiamt-Ottoschwanden                   ,   48.201822,    7.933603,        475.5,Baden-Württemberg                       
1441,Freiberg                                ,   50.926306,   13.271085,416,Sachsen                                 
1443,Freiburg                                ,   48.023242,    7.834292,        236.5,Baden-Württemberg                       
1447,Freiburg im Breisgau-Herdern            ,   48.012977,    7.858837,255,Baden-Württemberg                       
1451,Freiburg/Elbe                           ,   53.827696,    9.249276,2,Niedersachsen                           
1468,Freudenstadt                            ,   48.453828,    8.408952,        796.5,Baden-Württemberg                       
1473,Freystadt-Michelbach                    ,   49.186949,   11.308043,414,Bayern                                  
1481,Friedenweiler                           ,   47.921588,    8.254682,928,Baden-Württemberg                       
1488,Friedrichsbrunn                         ,    51.68837,   11.039436,523,Sachsen-Anhalt                          
1490,Friedrichshafen                         ,   47.645363,    9.479522,394,Baden-Württemberg                       
1492,Malsburg-Marzell-Friedrichsheim         ,   47.781903,    7.734756,852,Baden-Württemberg                       
1503,Friesoythe-Altenoythe                   ,   53.064301,    7.901969,          5.7,Niedersachsen                           
1504,Fritzlar (Flugplatz)                    ,   51.119006,    9.279894,        174.3,Hessen                                  
1513,Fuchskauten                             ,   50.658775,    8.102688,653,Rheinland-Pfalz                         
1515,Fürstenfeldbruck                        ,        48.2,     11.2667,519,Bayern                                  
1522,Fürth/Bayern (A)                        ,   49.481122,    10.96398,313,Bayern                                  
1526,Fulda-Horas                             ,   50.566786,    9.653221,242,Hessen                                  
1544,Gardelegen                              ,   52.512889,   11.394174,47,Sachsen-Anhalt                          
1550,Garmisch-Partenkirchen                  ,   47.482989,   11.062126,        719.3,Bayern                                  
1552,Gartz/Oder                              ,   53.206624,   14.381687,13,Brandenburg                             
