Stations_id;Stationsname;geogr. Breite;geogr. Laenge;Stationshoehe;Bundesland;
       5046;Tirschenreuth-Lodermühl                 ;   49.857617;   12.354218;        500.5;Bayern                                  ;
       5097;Tribsees                                ;   54.066058;   12.767516;           10;Mecklenburg-Vorpommern                  ;
       5100;Trier-Petrisberg                        ;   49.747883;    6.658296;          265;Rheinland-Pfalz                         ;
       5111;Trostberg                               ;   48.031106;   12.539575;          560;Bayern                                  ;
       5142;Ueckermünde                             ;   53.744455;   14.069809;          1.2;Mecklenburg-Vorpommern                  ;
       5229;Villingen-Schwenningen                  ;   48.045325;    8.460769;          719;Baden-Württemberg                       ;
       5275;Waghäusel-Kirrlach                      ;   49.244471;    8.537434;        104.5;Baden-Württemberg                       ;
       5279;Wesertal-Lippoldsberg                   ;    51.61941;     9.57491;          176;Hessen                                  ;
       5280;Wittenborn                              ;   53.922412;   10.226738;           35;Schleswig-Holstein                      ;
       5300;Waldems-Reinborn                        ;   50.259603;    8.360676;          380;Hessen                                  ;
       5371;Wasserkuppe                             ;   50.497277;    9.942739;          921;Hessen                                  ;
       5397;Weiden                                  ;   49.666221;   12.184448;        439.6;Bayern                                  ;
       5404;Weihenstephan-Dürnast                   ;   48.402404;   11.694552;        477.1;Bayern                                  ;
       5426;Weinbiet                                ;    49.37579;    8.121238;          553;Rheinland-Pfalz                         ;
       5433;Weiskirchen/Saar                        ;   49.553365;    6.811951;          380;Saarland                                ;
       5440;Weißenburg-Emetzheim                    ;    49.01153;   10.930837;        439.3;Bayern                                  ;
       5516;Fehmarn                                 ;   54.528292;   11.060556;          3.2;Schleswig-Holstein                      ;
       5541;Wiesbaden-Auringen                      ;   50.132052;    8.316938;          263;Hessen                                  ;
       5546;Wiesenburg                              ;   52.120644;   12.458559;          187;Brandenburg                             ;
       5629;Wittenberg                              ;   51.889124;   12.644598;        104.5;Sachsen-Anhalt                          ;
       5643;Wittstock-Rote Mühle                    ;   53.186436;   12.494939;         67.5;Brandenburg                             ;
       5664;Wolfach                                 ;   48.295324;    8.239068;          296;Baden-Württemberg                       ;
       5676;Wolfsburg (Südwest)                     ;   52.396186;   10.689225;           82;Niedersachsen                           ;
       5692;Worms                                   ;   49.605078;    8.365906;           88;Rheinland-Pfalz                         ;
       5705;Würzburg                                ;   49.770378;    9.957627;          268;Bayern                                  ;
       5717;Wuppertal-Buchenhofen                   ;   51.225598;    7.105176;          134;Nordrhein-Westfalen                     ;
       5731;Wutöschingen-Ofteringen                 ;   47.678267;    8.380132;        394.5;Baden-Württemberg                       ;
       5745;Zehdenick                               ;   52.966344;   13.326752;           51;Brandenburg                             ;
       5750;Zeitz                                   ;   51.031411;    12.14949;          264;Sachsen-Anhalt                          ;
